Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Wewnetrzna,4,97,2.28814,2.35864,2.68624,2.96364,-0.189187,2835,3.99988
Wewnetrzna,4,98,2.21328,1.32511,2.67233,2.97619,-0.189187,2755,3.99988
Wewnetrzna,4,99,3.17233,2.1024,2.66144,2.98595,-0.189188,2795,3.99989
Wewnetrzna,4,100,1.57854,1.21755,2.68069,2.96866,-0.189187,2785,3.99988
Zewnetrzna,4.4934,1,-2.18207,0.0939618,4.11906,1.79556,-0.217234,360,4.4934
Zewnetrzna,4.4934,2,2.32909,4.28941,2.67819,3.60804,-0.217234,570,4.4934
Zewnetrzna,4.4934,3,2.35945,1.83948,3.85479,2.30895,-0.217234,340,4.4934
Zewnetrzna,4.4934,4,0.120488,2.0286,1.58255,4.20549,-0.217234,320,4.4934
Zewnetrzna,4.4934,5,-3.44632,1.34872,3.09548,3.2571,-0.217234,500,4.4934
Zewnetrzna,4.4934,6,3.47593,1.12089,4.28094,1.36535,-0.217234,620,4.4934
Zewnetrzna,4.4934,7,1.66177,-2.61785,2.93468,3.40269,-0.217234,520,4.4934
Zewnetrzna,4.4934,8,-2.50321,-3.13934,2.43762,3.77474,-0.217234,570,4.4934
Zewnetrzna,4.4934,9,-2.67954,3.4606,3.80088,2.39665,-0.217234,505,4.4934
Zewnetrzna,4.4934,10,-1.32085,2.69227,2.45515,3.76336,-0.217234,515,4.4934
Zewnetrzna,4.4934,11,1.53557,2.53748,2.05196,3.99751,-0.217234,650,4.4934
Zewnetrzna,4.4934,12,-2.22487,0.811769,4.05661,1.93249,-0.217234,500,4.4934
Zewnetrzna,4.4934,13,4.07232,1.40907,4.25032,1.45789,-0.217234,335,4.4934
Zewnetrzna,4.4934,14,1.78333,1.59431,3.73979,2.4909,-0.217234,365,4.4934
Zewnetrzna,4.4934,15,-4.27617,3.51455,1.45393,4.25167,-0.217234,400,4.4934
Zewnetrzna,4.4934,16,2.24343,-1.96484,4.21852,1.5475,-0.217234,515,4.4934
Zewnetrzna,4.4934,17,-0.884884,0.079121,3.94461,2.1519,-0.217234,525,4.4934
Zewnetrzna,4.4934,18,-2.16883,-3.01884,2.6378,3.63767,-0.217234,555,4.4934
Zewnetrzna,4.4934,19,-2.5748,2.44506,3.05025,3.29949,-0.217234,320,4.4934
Zewnetrzna,4.4934,20,3.50316,-1.52772,3.37944,2.96142,-0.217234,510,4.4934
Zewnetrzna,4.4934,21,-0.699618,2.48569,2.7068,3.58663,-0.217234,435,4.4934
Zewnetrzna,4.4934,22,4.08657,-3.53124,2.14732,3.94711,-0.217234,340,4.4934
Zewnetrzna,4.4934,23,4.36123,-2.91004,1.46321,4.24849,-0.217234,420,4.4934
Zewnetrzna,4.4934,24,-2.17718,-2.81171,2.42736,3.78134,-0.217234,320,4.4934
Zewnetrzna,4.4934,25,-3.94284,0.995365,3.7042,2.54353,-0.217234,420,4.4934
Zewnetrzna,4.4934,26,4.37397,2.08613,3.68445,2.57206,-0.217234,625,4.4934
Zewnetrzna,4.4934,27,-0.960558,-2.34431,1.97573,4.03573,-0.217234,465,4.4934
Zewnetrzna,4.4934,28,-1.5955,-1.38163,3.06943,3.28165,-0.217234,485,4.4934
Zewnetrzna,4.4934,29,3.55816,-4.30557,4.11951,1.79452,-0.217234,355,4.4934
Zewnetrzna,4.4934,30,-4.28073,3.77539,4.3101,1.27032,-0.217234,570,4.4934
Zewnetrzna,4.4934,31,3.70239,2.4561,3.55087,2.75354,-0.217234,500,4.4934
Zewnetrzna,4.4934,32,-2.68285,-1.6759,3.87409,2.27642,-0.217234,550,4.4934
Zewnetrzna,4.4934,33,-1.95817,-0.358282,3.91091,2.21257,-0.217234,450,4.4934
Zewnetrzna,4.4934,34,-0.201336,-0.0395766,2.28694,3.86789,-0.217234,320,4.4934
Zewnetrzna,4.4934,35,-2.40662,-1.19158,4.16973,1.67451,-0.217234,500,4.4934
Zewnetrzna,4.4934,36,2.9261,1.38716,4.1566,1.70685,-0.217234,355,4.4934
Zewnetrzna,4.4934,37,-3.19929,2.51927,2.37049,3.81725,-0.217234,340,4.4934
Zewnetrzna,4.4934,38,2.34932,-3.33146,3.4449,2.88501,-0.217234,500,4.4934
Zewnetrzna,4.4934,39,4.10263,-4.32127,3.42172,2.91246,-0.217234,660,4.4934
Zewnetrzna,4.4934,40,-1.64976,-4.33361,1.93038,4.05762,-0.217234,360,4.4934
Zewnetrzna,4.4934,41,1.1675,-1.76919,2.09252,3.97643,-0.217234,460,4.4934
Zewnetrzna,4.4934,42,2.24592,-4.28646,1.17461,4.33716,-0.217234,455,4.4934
Zewnetrzna,4.4934,43,0.379899,-3.84298,1.92507,4.06014,-0.217234,390,4.4934
Zewnetrzna,4.4934,44,-1.17469,-0.555341,4.17158,1.6699,-0.217234,330,4.4934
Zewnetrzna,4.4934,45,-3.65515,-0.962022,4.35036,1.12471,-0.217234,360,4.4934
Zewnetrzna,4.4934,46,-1.27335,-4.44616,2.28549,3.86875,-0.217234,335,4.4934
Zewnetrzna,4.4934,47,-2.99932,0.537191,3.74986,2.47571,-0.217234,525,4.4934
Zewnetrzna,4.4934,48,-1.62866,-0.464093,3.96326,2.11737,-0.217234,630,4.4934
Zewnetrzna,4.4934,49,-4.31449,2.6634,4.11845,1.79694,-0.217234,360,4.4934
Zewnetrzna,4.4934,50,3.98973,-2.22771,3.48549,2.83584,-0.217234,505,4.4934
Zewnetrzna,4.4934,51,-3.02157,2.42243,2.68723,3.60131,-0.217234,630,4.4934
Zewnetrzna,4.4934,52,3.65285,-1.72746,4.21871,1.54697,-0.217234,520,4.4934
Zewnetrzna,4.4934,53,0.4483,1.50876,2.15791,3.94133,-0.217234,515,4.4934
Zewnetrzna,4.4934,54,-0.565522,0.0575269,4.29114,1.33297,-0.217234,500,4.4934
Zewnetrzna,4.4934,55,1.68089,2.27811,1.82199,4.10743,-0.217234,500,4.4934
Zewnetrzna,4.4934,56,0.217317,-1.64501,1.41992,4.26315,-0.217234,530,4.4934
Zewnetrzna,4.4934,57,-3.98448,-2.03016,4.26453,1.41578,-0.217234,325,4.4934
Zewnetrzna,4.4934,58,-1.43807,0.88882,4.08701,1.86736,-0.217234,320,4.4934
Zewnetrzna,4.4934,59,-1.37974,1.88064,2.76778,3.53978,-0.217234,530,4.4934
Zewnetrzna,4.4934,60,-4.15992,-0.541486,4.0867,1.86804,-0.217234,335,4.4934
Zewnetrzna,4.4934,61,-3.57479,-0.939876,4.3681,1.05367,-0.217234,330,4.49339
Zewnetrzna,4.4934,62,-0.494246,-2.0807,2.22012,3.90662,-0.217234,515,4.4934
Zewnetrzna,4.4934,63,4.09072,2.37049,3.58135,2.71378,-0.217234,320,4.4934
Zewnetrzna,4.4934,64,1.9486,4.26962,2.24754,3.89092,-0.217234,440,4.4934
Zewnetrzna,4.4934,65,0.540499,1.44494,2.13766,3.95235,-0.217234,390,4.4934
Zewnetrzna,4.4934,66,-2.45149,2.01233,3.36303,2.98005,-0.217234,440,4.4934
Zewnetrzna,4.4934,67,-0.626032,-3.29204,1.73526,4.14482,-0.217234,500,4.4934
Zewnetrzna,4.4934,68,-4.20854,4.31567,4.1523,1.71728,-0.217234,390,4.4934
Zewnetrzna,4.4934,69,2.71012,-0.280661,3.39592,2.94251,-0.217234,485,4.4934
Zewnetrzna,4.4934,70,-0.120204,-0.102385,2.34657,3.832,-0.217234,480,4.4934
Zewnetrzna,4.4934,71,-2.49595,-4.39629,1.11657,4.35246,-0.217234,395,4.4934
Zewnetrzna,4.4934,72,2.74601,-1.98703,4.23414,1.50423,-0.217234,535,4.4934
Zewnetrzna,4.4934,73,-1.93305,-3.18546,1.2764,4.3083,-0.217234,495,4.4934
Zewnetrzna,4.4934,74,3.39519,1.18061,4.17304,1.66625,-0.217234,285,4.4934
Zewnetrzna,4.4934,75,3.18858,3.72867,3.69416,2.55809,-0.217234,360,4.4934
Zewnetrzna,4.4934,76,-3.85427,4.10719,4.32117,1.23213,-0.217234,650,4.4934
Zewnetrzna,4.4934,77,-1.7046,0.144879,4.32352,1.22385,-0.217234,605,4.4934
Zewnetrzna,4.4934,78,-2.46691,-2.10729,3.17242,3.1822,-0.217234,465,4.4934
Zewnetrzna,4.4934,79,-1.97803,3.97509,2.70247,3.58989,-0.217234,320,4.4934
Zewnetrzna,4.4934,80,-2.33106,3.05587,2.9101,3.42373,-0.217234,495,4.4934
Zewnetrzna,4.4934,81,0.926627,-0.289152,1.80688,4.1141,-0.217234,475,4.4934
Zewnetrzna,4.4934,82,0.574799,-4.1928,1.85177,4.09409,-0.217234,340,4.4934
Zewnetrzna,4.4934,83,0.912206,0.859659,1.81875,4.10887,-0.217234,1360,4.4934
Zewnetrzna,4.4934,84,-4.37054,-0.871073,3.49641,2.82236,-0.217234,555,4.4934
Zewnetrzna,4.4934,85,-3.9144,0.00265983,4.10301,1.83193,-0.217234,510,4.4934
Zewnetrzna,4.4934,86,3.51994,-1.91695,4.18507,1.63579,-0.217234,325,4.4934
Zewnetrzna,4.4934,87,0.0997722,1.77255,1.79969,4.11725,-0.217234,545,4.4934
Zewnetrzna,4.4934,88,0.589426,2.66012,1.91458,4.0651,-0.217234,545,4.4934
