Dlugosc_kroku,Lp,x1_0,x2_0,SD_x1,SD_x2,SD_y,SD_f_calls,SD_g_calls,SD_Globalne,CG_x1,CG_x2,CG_y,CG_f_calls,CG_g_calls,CG_Globalne,Newt_x1,Newt_x2,Newt_y,Newt_f_calls,Newt_g_calls,Newt_H_calls,Newt_Globalne
Zmienny,55,-1.02188,1.5325,-1.74755,0.873767,0.298638,3,2,NIE,-1.74755,0.873796,0.298638,3,2,NIE,-1.07161,0.535808,0.877359,3,2,2,NIE
Zmienny,56,1.90338,1.38762,2.1814e-06,-3.75713e-06,1.54372e-11,6,5,TAK,-3.84933e-07,6.59327e-07,4.77262e-13,6,5,TAK,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,57,1.48939,0.979398,1.74755,-0.873773,0.298638,6,5,NIE,1.74755,-0.873772,0.298638,6,5,NIE,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,58,0.287786,0.617126,-1.60296e-06,2.78898e-06,8.44674e-12,5,4,TAK,2.52523e-07,3.1942e-07,3.10225e-13,5,4,TAK,2.65066e-15,4.2885e-15,4.38107e-29,5,4,4,TAK
Zmienny,59,1.31173,0.361199,1.74755,-0.873775,0.298638,3,2,NIE,1.74755,-0.873776,0.298638,3,2,NIE,1.01417,-0.50708,0.870504,3,2,2,NIE
Zmienny,60,-0.276267,1.94414,-6.86304e-07,5.27349e-06,2.51325e-11,5,4,TAK,-5.50732e-08,7.47369e-07,5.23466e-13,5,4,TAK,-7.98187e-16,4.66652e-15,1.93258e-29,5,4,4,TAK
Zmienny,61,1.48962,-0.97259,1.74755,-0.873783,0.298638,4,3,NIE,1.74755,-0.873776,0.298638,4,3,NIE,1.74755,-0.873776,0.298638,4,3,3,NIE
Zmienny,62,1.91204,1.31147,1.12209e-06,-1.98423e-06,4.22885e-12,6,5,TAK,-2.74234e-07,5.02336e-07,2.64992e-13,6,5,TAK,1.74755,-0.873776,0.298638,6,5,5,NIE
Zmienny,63,0.904063,1.43471,-1.85035e-06,2.56132e-06,8.66862e-12,3,2,TAK,-4.39341e-07,1.50542e-06,1.99094e-12,3,2,TAK,1.09627,-0.548127,0.875908,3,2,2,NIE
Zmienny,64,-0.298152,0.598308,-2.25222e-07,4.91498e-07,2.32324e-13,5,4,TAK,4.67598e-07,1.37597e-06,2.97397e-12,5,4,TAK,-1.78451e-15,2.98624e-15,9.95759e-30,5,4,4,TAK
Zmienny,65,0.124955,-0.909634,3.88975e-07,-2.88234e-06,7.4893e-12,4,3,TAK,4.54409e-08,-8.51939e-08,7.51646e-15,4,3,TAK,4.60129e-14,-3.38686e-13,1.03359e-25,4,3,3,TAK
Zmienny,66,-0.405223,0.721106,3.48421e-07,3.59327e-07,4.97107e-13,5,4,TAK,-1.33239e-07,1.31994e-07,3.53411e-14,5,4,TAK,-1.253e-14,1.87059e-14,4.2953e-28,5,4,4,TAK
Zmienny,67,-1.73229,1.12375,-1.74756,0.873793,0.298638,4,3,NIE,-1.74755,0.873777,0.298638,4,3,NIE,-1.74755,0.873776,0.298638,4,3,3,NIE
Zmienny,68,0.587214,-0.90244,1.35064e-07,1.10303e-07,6.35495e-14,5,4,TAK,8.97357e-08,-1.30545e-06,1.60316e-12,5,4,TAK,1.74755,-0.873776,0.298638,5,4,4,NIE
Zmienny,69,-1.68175,-1.15819,-1.74755,0.873769,0.298638,5,4,NIE,-1.74754,0.873699,0.298638,5,4,NIE,-1.74755,0.873776,0.298638,5,4,4,NIE
Zmienny,70,0.86396,-0.703631,9.47288e-07,-3.67674e-06,1.18302e-11,2,1,TAK,-2.23366e-07,6.60735e-07,3.88769e-13,2,1,TAK,0.863961,-0.70363,0.864343,2,1,1,NIE
Zmienny,71,-1.6257,0.767343,-1.74755,0.873771,0.298638,4,3,NIE,-1.74755,0.873774,0.298638,4,3,NIE,-1.74755,0.873776,0.298638,4,3,3,NIE
Zmienny,72,-1.31601,1.86369,-1.74755,0.873791,0.298638,3,2,NIE,-1.74755,0.873778,0.298638,3,2,NIE,-1.00944,0.504724,0.869315,3,2,2,NIE
Zmienny,73,-0.253259,0.971773,-1.31067e-06,5.38857e-06,2.54097e-11,5,4,TAK,-2.99868e-07,5.43549e-07,3.12294e-13,5,4,TAK,-6.45919e-16,2.13258e-15,4.00484e-30,5,4,4,TAK
Zmienny,74,0.48082,-0.941531,6.15046e-08,2.06107e-08,9.25808e-15,5,4,TAK,3.81961e-08,-4.52845e-07,1.90689e-13,5,4,TAK,-1.97403e-14,-2.0868e-13,4.84463e-26,5,4,4,TAK
Zmienny,75,-0.667028,-1.79545,1.2831e-06,-1.90917e-06,4.48799e-12,5,4,TAK,6.1173e-07,-4.22273e-06,1.59967e-11,5,4,TAK,-1.74755,0.873776,0.298638,5,4,4,NIE
Zmienny,76,-0.997396,-1.17741,-2.79191e-06,3.62995e-06,1.86315e-11,3,2,TAK,-5.57639e-07,5.65286e-07,6.26245e-13,3,2,TAK,-1.07342,0.536702,0.877343,3,2,2,NIE
Zmienny,77,-0.768038,-1.08536,-8.65839e-07,-3.79546e-06,1.91911e-11,3,2,TAK,4.23897e-08,-1.64833e-07,2.37765e-14,3,2,TAK,-1.24806,0.624024,0.808178,3,2,2,NIE
