Metoda,Krok,Nr_Iteracji,x1,x2
Newton,0.050000,75,1.07641,-0.504102
Newton,0.050000,76,1.07611,-0.505661
Newton,0.050000,77,1.07583,-0.507141
Newton,0.050000,78,1.07557,-0.508548
Newton,0.050000,79,1.07532,-0.509884
Newton,0.050000,80,1.07508,-0.511154
Newton,0.050000,81,1.07485,-0.51236
Newton,0.050000,82,1.07464,-0.513506
Newton,0.050000,83,1.07443,-0.514594
Newton,0.050000,84,1.07424,-0.515628
Newton,0.050000,85,1.07406,-0.51661
Newton,0.050000,86,1.07388,-0.517543
Newton,0.050000,87,1.07371,-0.51843
Newton,0.050000,88,1.07355,-0.519272
Newton,0.050000,89,1.0734,-0.520072
Newton,0.050000,90,1.07326,-0.520832
Newton,0.050000,91,1.07313,-0.521554
Newton,0.050000,92,1.073,-0.52224
Newton,0.050000,93,1.07287,-0.522891
Newton,0.050000,94,1.07276,-0.52351
Newton,0.050000,95,1.07265,-0.524099
Newton,0.050000,96,1.07254,-0.524657
Newton,0.050000,97,1.07244,-0.525188
Newton,0.050000,98,1.07235,-0.525692
Newton,0.050000,99,1.07226,-0.526171
Newton,0.050000,100,1.07217,-0.526626
Newton,0.050000,101,1.07209,-0.527058
Newton,0.050000,102,1.07201,-0.527469
Newton,0.050000,103,1.07194,-0.527859
Newton,0.050000,104,1.07187,-0.52823
Newton,0.050000,105,1.0718,-0.528582
Newton,0.050000,106,1.07174,-0.528916
Newton,0.050000,107,1.07168,-0.529234
Newton,0.050000,108,1.07162,-0.529536
Newton,0.050000,109,1.07157,-0.529823
Newton,0.050000,110,1.07152,-0.530095
Newton,0.050000,111,1.07147,-0.530354
Newton,0.050000,112,1.07142,-0.5306
Newton,0.050000,113,1.07138,-0.530833
Newton,0.050000,114,1.07134,-0.531055
Newton,0.050000,115,1.0713,-0.531266
Newton,0.050000,116,1.07126,-0.531466
Newton,0.050000,117,1.07122,-0.531657
Newton,0.050000,118,1.07119,-0.531837
Newton,0.050000,119,1.07116,-0.532009
Newton,0.050000,120,1.07113,-0.532172
Newton,0.050000,121,1.0711,-0.532327
Newton,0.050000,122,1.07107,-0.532474
Newton,0.050000,123,1.07104,-0.532614
Newton,0.050000,124,1.07102,-0.532747
Newton,0.050000,125,1.07099,-0.532873
Newton,0.050000,126,1.07097,-0.532993
Newton,0.050000,127,1.07095,-0.533107
Newton,0.050000,128,1.07093,-0.533215
Newton,0.050000,129,1.07091,-0.533318
Newton,0.050000,130,1.07089,-0.533416
Newton,0.050000,131,1.07087,-0.533508
Newton,0.050000,132,1.07086,-0.533597
Newton,0.050000,133,1.07084,-0.53368
Newton,0.050000,134,1.07083,-0.53376
Newton,0.050000,135,1.07081,-0.533835
Newton,0.050000,136,1.0708,-0.533907
Newton,0.050000,137,1.07079,-0.533975
Newton,0.050000,138,1.07077,-0.53404
Newton,0.050000,139,1.07076,-0.534102
Newton,0.050000,140,1.07075,-0.53416
Newton,0.050000,141,1.07074,-0.534216
Newton,0.050000,142,1.07073,-0.534269
Newton,0.050000,143,1.07072,-0.534319
Newton,0.050000,144,1.07071,-0.534366
Newton,0.050000,145,1.0707,-0.534412
Newton,0.050000,146,1.0707,-0.534454
Newton,0.050000,147,1.07069,-0.534495
Newton,0.050000,148,1.07068,-0.534534
Newton,0.050000,149,1.07067,-0.534571
Newton,0.050000,150,1.07067,-0.534606
Newton,0.050000,151,1.07066,-0.534639
Newton,0.050000,152,1.07066,-0.534671
Newton,0.050000,153,1.07065,-0.534701
Newton,0.050000,154,1.07064,-0.534729
Newton,0.050000,155,1.07064,-0.534756
Newton,0.050000,156,1.07063,-0.534782
Newton,0.050000,157,1.07063,-0.534807
Newton,0.050000,158,1.07063,-0.53483
Newton,0.050000,159,1.07062,-0.534852
Newton,0.050000,160,1.07062,-0.534873
Newton,0.050000,161,1.07061,-0.534893
Newton,0.050000,162,1.07061,-0.534912
Newton,0.050000,163,1.07061,-0.53493
Newton,0.050000,164,1.0706,-0.534947
Newton,0.050000,165,1.0706,-0.534963
Newton,0.050000,166,1.0706,-0.534978
Newton,0.050000,167,1.07059,-0.534993
Newton,0.050000,168,1.07059,-0.535007
Newton,0.050000,169,1.07059,-0.53502
Newton,0.050000,170,1.07059,-0.535033
Newton,0.050000,171,1.07058,-0.535045
Newton,0.050000,172,1.07058,-0.535056
Newton,0.050000,173,1.07058,-0.535067
Newton,0.050000,174,1.07058,-0.535077
Newton,0.050000,175,1.07058,-0.535087
Newton,0.250000,0,1.4578,0.868796
Newton,0.250000,1,0.981202,0.70767
Newton,0.250000,2,1.00473,0.396337
Newton,0.250000,3,1.02174,0.163159
Newton,0.250000,4,1.03421,-0.0115827
Newton,0.250000,5,1.04342,-0.142572
Newton,0.250000,6,1.05027,-0.240781
Newton,0.250000,7,1.05538,-0.314421
Newton,0.250000,8,1.05919,-0.369643
Newton,0.250000,9,1.06204,-0.411055
Newton,0.250000,10,1.06417,-0.442112
Newton,0.250000,11,1.06576,-0.465403
Newton,0.250000,12,1.06696,-0.482871
Newton,0.250000,13,1.06786,-0.495972
Newton,0.250000,14,1.06853,-0.505797
Newton,0.250000,15,1.06903,-0.513166
Newton,0.250000,16,1.06941,-0.518692
Newton,0.250000,17,1.06969,-0.522837
Newton,0.250000,18,1.06991,-0.525945
Newton,0.250000,19,1.07006,-0.528277
Newton,0.250000,20,1.07018,-0.530025
Newton,0.250000,21,1.07027,-0.531337
Newton,0.250000,22,1.07034,-0.53232
Newton,0.250000,23,1.07039,-0.533058
Newton,0.250000,24,1.07043,-0.533611
Newton,0.250000,25,1.07046,-0.534026
Newton,0.250000,26,1.07048,-0.534338
Newton,0.250000,27,1.07049,-0.534571
Newton,0.250000,28,1.07051,-0.534746
Newton,0.250000,29,1.07052,-0.534877
Newton,0.250000,30,1.07052,-0.534976
Newton,0.250000,31,1.07053,-0.53505
Newton,0.250000,32,1.07053,-0.535105
Newton,0.250000,33,1.07053,-0.535147
Newton,0.250000,34,1.07054,-0.535178
Newton,0.250000,35,1.07054,-0.535201
Newton,0.250000,36,1.07054,-0.535219
Newton,0.250000,37,1.07054,-0.535232
Newton,0.250000,38,1.07054,-0.535242
Newton,Zmienny,0,1.4578,0.868796
Newton,Zmienny,1,-0.130371,0.331871
Newton,Zmienny,2,0.00386005,0.00151429
Newton,Zmienny,3,-3.6175e-08,1.0898e-07
Newton,Zmienny,4,-1.74452e-13,5.25548e-13
