Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Zewnetrzna,5,45,-0.622173,0.694606,4.1765,1.65758,-0.217234,320,4.49341
Zewnetrzna,5,46,-0.243087,-4.06635,1.65892,4.17597,-0.217234,470,4.49341
Zewnetrzna,5,47,4.21413,-0.437449,4.1653,1.68554,-0.217234,455,4.49341
Zewnetrzna,5,48,-1.87175,-2.42106,2.08322,3.98132,-0.217234,330,4.49341
Zewnetrzna,5,49,1.22076,3.34221,2.05068,3.99818,-0.217234,310,4.49341
Zewnetrzna,5,50,4.69855,-2.54093,1.05804,4.36707,-0.217234,615,4.49341
Zewnetrzna,5,51,-3.54606,4.78188,3.47855,2.84437,-0.217234,525,4.49341
Zewnetrzna,5,52,-1.56315,-0.580586,4.06261,1.91989,-0.217234,315,4.49341
Zewnetrzna,5,53,0.218523,1.62946,1.85331,4.09341,-0.217234,335,4.49341
Zewnetrzna,5,54,-1.70229,-3.42886,1.49658,4.23686,-0.217234,595,4.49341
Zewnetrzna,5,55,2.05197,4.512,2.84855,3.47512,-0.217234,285,4.49341
Zewnetrzna,5,56,-3.99329,-2.90522,4.26591,1.41164,-0.217234,345,4.49341
Zewnetrzna,5,57,2.21698,0.459233,4.04652,1.95357,-0.217234,480,4.49341
Zewnetrzna,5,58,0.011389,3.24802,2.38457,3.80848,-0.217234,340,4.49341
Zewnetrzna,5,59,-2.11943,4.11479,2.85587,3.46911,-0.217234,320,4.49341
Zewnetrzna,5,60,2.89596,2.2584,3.89734,2.23639,-0.217234,330,4.49341
Zewnetrzna,5,61,-0.190608,-2.34713,2.69886,3.59261,-0.217234,380,4.49341
Zewnetrzna,5,62,3.19205,-0.976483,4.27364,1.38807,-0.217234,620,4.49341
Zewnetrzna,5,63,2.21542,-3.6797,3.77918,2.43075,-0.217234,315,4.49341
Zewnetrzna,5,64,1.60246,-1.56382,2.86954,3.45781,-0.217234,485,4.49341
Zewnetrzna,5,65,4.66251,1.301,4.23881,1.49105,-0.217234,320,4.49341
