Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
226,0.1,-0.226725,-0.672733,-3.57257e-06,-0.774711,0.619837,147,1.16933e-06,0.774702,0.619837,195
227,0.1,-0.931462,-0.449808,-0.774711,-2.84903e-06,0.619837,131,-0.774715,-4.39066e-06,0.619837,175
228,0.1,0.656106,-0.826788,0.77471,-0.774712,1.23967,152,0.774716,-0.774713,1.23967,201
229,0.1,-0.266209,-0.568129,1.54224e-06,-0.774721,0.619837,141,-2.13665e-06,2.69593e-06,3.76801e-10,281
230,0.1,-0.980613,-0.36963,-0.774717,-1.49541e-06,0.619837,147,-0.774716,-6.14205e-06,0.619837,235
231,0.1,-0.809098,-0.172302,-0.774711,1.41946e-07,0.619837,144,-0.77472,-5.67661e-06,0.619837,179
232,0.1,-0.743784,-0.563292,-0.774717,-0.774718,1.23967,155,-0.774714,-5.37477e-06,0.619837,215
233,0.1,0.192239,-0.498794,2.2361e-06,-0.774721,0.619837,134,0.774719,-1.35762e-06,0.619837,193
234,0.1,0.947316,0.871885,0.774721,0.774717,1.23967,126,0.774714,0.774714,1.23967,203
235,0.1,-0.125817,-0.353096,1.25807e-06,4.70832e-06,7.56293e-10,128,-3.2492e-06,-4.60885e-06,1.01255e-09,155
236,0.1,-0.303029,0.352473,-2.00593e-06,-5.23247e-06,9.99935e-10,134,6.34809e-06,0.774718,0.619837,193
237,0.1,0.621684,-0.307683,0.774711,-4.81462e-06,0.619837,154,0.774714,9.18062e-07,0.619837,193
238,0.1,-0.922616,-0.714995,-0.774716,-0.774712,1.23967,127,-0.774713,-0.774714,1.23967,173
239,0.1,0.230376,-0.932302,5.23144e-06,-0.774721,0.619837,171,0.774715,-0.774713,1.23967,155
240,0.1,0.871451,-0.81643,0.77471,-0.774718,1.23967,170,0.774713,-0.774715,1.23967,141
241,0.1,-0.30849,-0.355274,5.7721e-06,-8.07343e-07,1.08166e-09,130,-4.36146e-06,1.37756e-07,6.06324e-10,237
242,0.1,-0.489163,-0.239952,-0.77471,1.47967e-06,0.619837,155,2.92698e-06,2.37198e-06,4.51957e-10,179
243,0.1,0.194918,-0.833057,-3.65637e-06,-0.774719,0.619837,152,0.774716,-0.774715,1.23967,165
244,0.1,-0.0667397,0.928709,-3.84369e-06,0.774717,0.619837,150,1.92885e-06,3.73778e-06,5.6334e-10,165
