Metoda,Parametr_a,Iteracja,x0_start,x1_start,x0_end,x1_end,y_end,f_calls,r
Wewnetrzna,4.4934,95,4.0266,1.67352,3.00687,3.33891,-0.217234,3485,4.49328
Wewnetrzna,4.4934,96,2.53461,2.28314,3.04003,3.30874,-0.217234,3330,4.49328
Wewnetrzna,4.4934,97,2.21767,2.60439,2.98085,3.36213,-0.217234,3295,4.49326
Wewnetrzna,4.4934,98,1.1335,2.80646,3.04815,3.30126,-0.217234,3695,4.49327
Wewnetrzna,4.4934,99,1.09396,4.00947,3.04793,3.30146,-0.217234,3615,4.49328
Wewnetrzna,4.4934,100,3.84738,1.03519,3.03877,3.3099,-0.217234,3360,4.49328
Zewnetrzna,5,1,-1.40889,4.338,1.95617,4.04526,-0.217234,335,4.49341
Zewnetrzna,5,2,0.282566,-0.636954,1.61678,4.19246,-0.217234,455,4.49341
Zewnetrzna,5,3,-3.77857,0.216773,4.22139,1.53966,-0.217234,310,4.49341
Zewnetrzna,5,4,-0.457255,2.24745,1.8292,4.10424,-0.217234,345,4.49341
Zewnetrzna,5,5,1.3844,-2.20614,2.9575,3.38289,-0.217234,330,4.49341
Zewnetrzna,5,6,0.276851,0.0502705,3.87519,2.27456,-0.217234,590,4.49341
Zewnetrzna,5,7,-0.279925,4.66938,1.19624,4.33125,-0.217234,430,4.49341
Zewnetrzna,5,8,3.72257,3.20484,2.13382,3.95443,-0.217234,494,4.49341
Zewnetrzna,5,9,-0.738222,1.45938,3.98259,2.0808,-0.217234,495,4.49341
Zewnetrzna,5,10,-0.99233,3.59701,2.62181,3.64922,-0.217234,495,4.49341
Zewnetrzna,5,11,0.1351,-0.612824,2.08239,3.98175,-0.217234,365,4.49341
Zewnetrzna,5,12,-1.23184,-1.67588,3.26296,3.08931,-0.217234,435,4.49341
Zewnetrzna,5,13,3.82536,-1.46249,3.98476,2.07663,-0.217234,455,4.49341
Zewnetrzna,5,14,4.98877,4.0916,1.9617,4.04258,-0.217234,330,4.49341
Zewnetrzna,5,15,-2.84569,3.14131,2.50382,3.73117,-0.217234,340,4.49341
Zewnetrzna,5,16,4.18954,0.74542,4.30959,1.27206,-0.217234,465,4.49341
Zewnetrzna,5,17,2.47931,-0.527893,3.8703,2.28287,-0.217234,305,4.49341
Zewnetrzna,5,18,-4.89153,3.70074,3.12108,3.23259,-0.217234,480,4.49341
Zewnetrzna,5,19,4.68888,-0.348789,4.11275,1.80997,-0.217234,490,4.49341
Zewnetrzna,5,20,0.948194,1.07328,2.52385,3.71765,-0.217234,480,4.49341
Zewnetrzna,5,21,2.44507,-3.77496,1.21651,4.3256,-0.217234,650,4.49341
Zewnetrzna,5,22,-3.87645,-2.83486,4.28158,1.36338,-0.217234,660,4.49341
Zewnetrzna,5,23,-4.10557,4.84612,1.88775,4.07764,-0.217234,485,4.49341
Zewnetrzna,5,24,-4.63002,0.156206,3.49032,2.82991,-0.217234,355,4.49341
Zewnetrzna,5,25,1.30549,-0.622349,2.36918,3.81808,-0.217234,495,4.49341
Zewnetrzna,5,26,-1.24679,-3.5594,3.22597,3.12791,-0.217234,370,4.49341
Zewnetrzna,5,27,3.76483,2.52138,3.59364,2.69749,-0.217234,295,4.49341
Zewnetrzna,5,28,-0.235289,2.59019,2.83,3.49025,-0.217234,605,4.49341
Zewnetrzna,5,29,-3.94111,-0.246515,4.17066,1.67222,-0.217234,475,4.49341
Zewnetrzna,5,30,1.68179,-1.7868,3.17308,3.18155,-0.217234,325,4.49341
