Iteracja,Krok_startowy,x0_start,x1_start,HJ_x0_end,HJ_x1_end,HJ_y_end,HJ_f_calls,Rosen_x0_end,Rosen_x1_end,Rosen_y_end,Rosen_f_calls
250,0.1,0.485418,-0.473555,0.774712,-0.774714,1.23967,126,0.774715,2.62348e-06,0.619837,167
251,0.1,0.601658,0.141336,0.774717,3.07334e-06,0.619837,160,0.774712,-2.25934e-06,0.619837,163
252,0.1,0.229348,-0.172695,2.62914e-06,-2.45048e-06,4.11317e-10,144,0.774717,3.87874e-07,0.619837,225
253,0.1,-0.313067,0.587307,-5.69639e-06,0.774722,0.619837,125,0.774713,0.774722,1.23967,191
254,0.1,-0.361032,-0.83605,2.67245e-06,-0.77471,0.619837,133,1.53765e-06,-0.774716,0.619837,243
255,0.1,-0.429521,0.00603651,-4.19236e-06,-5.96745e-06,1.69359e-09,145,2.40697e-06,1.04422e-06,2.19201e-10,179
256,0.1,0.626803,-0.958057,0.774716,-0.774719,1.23967,157,0.77471,-0.774716,1.23967,223
257,0.1,0.212877,-0.0828354,-1.09448e-06,1.55033e-06,1.14678e-10,127,0.774715,-3.96032e-06,0.619837,129
258,0.1,0.573494,-0.36594,0.774715,2.49866e-06,0.619837,146,0.77471,6.7859e-06,0.619837,201
259,0.1,0.0574044,0.199472,-5.28067e-06,-2.87555e-06,1.15124e-09,149,-2.57684e-06,0.774716,0.619837,301
260,0.1,0.542278,0.917099,0.774712,0.774716,1.23967,146,-0.774713,2.16391e-06,0.619837,211
261,0.1,0.159095,-0.849647,4.28389e-07,-0.774721,0.619837,153,6.37014e-06,-0.774719,0.619837,155
262,0.1,-0.132136,-0.472149,4.79578e-06,-0.774713,0.619837,164,-4.58286e-07,1.53548e-06,8.17628e-11,249
263,0.1,-0.570302,0.901428,-0.774721,0.774719,1.23967,145,-9.73676e-07,0.774717,0.619837,155
264,0.1,-0.471387,-0.620997,-0.774719,-0.77472,1.23967,132,2.52034e-06,2.0686e-06,3.38525e-10,177
265,0.1,0.914607,-0.985969,0.774714,-0.774714,1.23967,137,-8.67381e-07,-0.774715,0.619837,173
266,0.1,-0.0945514,0.516265,4.30239e-06,0.774712,0.619837,144,-2.95433e-06,-0.774718,0.619837,143
267,0.1,0.155367,-0.865203,-4.31018e-06,-0.774712,0.619837,148,-4.98673e-08,-0.774712,0.619837,183
268,0.1,-0.656431,0.8423,-0.774717,0.774721,1.23967,130,-2.94645e-07,0.774711,0.619837,171
269,0.1,0.722104,-0.0174631,0.774717,5.12199e-06,0.619837,159,0.774718,9.72596e-07,0.619837,219
270,0.1,-0.993751,-0.707417,-0.77472,-0.774714,1.23967,147,-0.774719,-0.774712,1.23967,223
271,0.1,0.988573,0.633053,0.774718,0.774715,1.23967,170,0.774716,0.774712,1.23967,183
272,0.1,-0.665473,0.201451,-0.774714,-1.94088e-06,0.619837,134,0.774717,0.774713,1.23967,187
273,0.1,-0.449782,0.908021,-2.19562e-06,0.77472,0.619837,154,-2.9387e-06,0.774709,0.619837,169
274,0.1,0.835511,0.607622,0.77472,0.774712,1.23967,136,0.774713,0.774715,1.23967,147
275,0.1,0.107493,0.377789,-1.90143e-06,0.774713,0.619837,133,1.53692e-06,0.774719,0.619837,213
276,0.1,0.524721,-0.733412,0.774721,-0.774721,1.23967,130,-0.774713,-0.774716,1.23967,161
277,0.1,0.528141,-0.607415,0.774711,-0.774713,1.23967,159,0.774703,-6.27423e-06,0.619837,143
278,0.1,-0.205561,0.957839,5.24651e-06,0.774721,0.619837,148,-2.01576e-06,0.774718,0.619837,207
279,0.1,-0.705988,0.323052,-0.774713,5.07465e-06,0.619837,131,-0.774711,0.774716,1.23967,167
280,0.1,-0.663158,-0.791381,-0.774718,-0.774718,1.23967,152,4.11257e-06,-0.774715,0.619837,153
281,0.1,0.337083,0.242291,-2.30887e-06,5.76584e-06,1.22835e-09,163,0.774717,0.774715,1.23967,217
282,0.1,0.724884,-0.507551,0.774713,-0.774714,1.23967,149,0.774715,1.07912e-07,0.619837,205
283,0.1,0.377088,-0.931547,0.77472,-0.774711,1.23967,151,0.774719,-0.774717,1.23967,117
284,0.1,-0.665251,0.0991921,-0.774711,-2.23299e-06,0.619837,125,0.774716,-2.30732e-06,0.619837,183
285,0.1,0.0509898,-0.659002,1.04413e-06,-0.774712,0.619837,154,8.74435e-08,8.1529e-07,2.14091e-11,179
286,0.1,0.391776,0.0395632,0.77471,1.97738e-07,0.619837,166,0.774715,-3.38125e-06,0.619837,267
287,0.1,0.974051,0.726302,0.774711,0.774715,1.23967,132,0.774716,0.774719,1.23967,165
288,0.1,-0.758986,-0.475731,-0.774721,-0.774718,1.23967,158,-0.774719,-2.94696e-06,0.619837,207
289,0.1,0.634323,-0.923475,0.774716,-0.77472,1.23967,140,0.774713,-0.774718,1.23967,113
290,0.1,-0.868109,-0.258184,-0.774713,-4.82484e-06,0.619837,132,-0.774711,0.774721,1.23967,275
291,0.1,0.454313,0.656612,0.774711,0.774715,1.23967,146,0.774721,0.77473,1.23967,137
292,0.1,0.00840435,-0.0175453,5.90915e-06,-3.82039e-06,1.57663e-09,138,2.34287e-06,-1.19411e-07,1.75239e-10,165
293,0.1,-0.950804,0.802843,-0.774717,0.774718,1.23967,156,-0.774702,0.774714,1.23967,207
294,0.1,-0.0597064,-0.656791,-1.81918e-06,-0.774711,0.619837,146,1.20949e-06,1.304e-06,1.00727e-10,177
295,0.1,0.125895,0.277136,4.02235e-06,-3.55729e-07,5.19218e-10,140,-1.37427e-06,0.77471,0.619837,153
296,0.1,-0.448172,-0.537022,-3.44769e-06,-0.774718,0.619837,137,-3.85613e-07,-1.01225e-06,3.73626e-11,153
297,0.1,-0.480573,-0.723289,-0.774714,-0.774717,1.23967,139,4.14842e-06,-0.774715,0.619837,161
298,0.1,-0.0445728,0.896515,-4.90651e-06,0.774713,0.619837,143,-1.28628e-06,1.41421e-06,1.16369e-10,185
299,0.1,-0.654836,0.290176,-0.774721,2.88193e-06,0.619837,141,-2.41456e-06,0.774719,0.619837,199
300,0.1,-0.00429321,0.396154,3.66559e-06,0.774718,0.619837,123,3.46575e-07,0.774717,0.619837,187
